TEAM,CONF,G,W,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,POSTSEASON,SEED,Win PCT
Cal St. Northridge,BW,30,7,44.1,50.4,19.6,18,27.3,30.5,36.6,39,N/A,N/A,23.33333333
VMI,SC,29,7,47.8,56.9,19.3,14.6,28.9,27.3,21,28.1,N/A,N/A,24.13793103
Monmouth,CAA,33,7,43.8,54.4,21.1,21,30.3,32.9,33.1,38.8,N/A,N/A,21.21212121
Eastern Michigan,MAC,30,8,49.2,55.6,16.9,17.1,25.1,32.8,32.2,35,N/A,N/A,26.66666667
Western Michigan,MAC,28,8,48.8,54.8,19.1,14.4,33,27.6,27.8,33.1,N/A,N/A,28.57142857
Albany,AE,29,8,47.3,55.3,19.2,16.6,27.8,26.7,31,36.8,N/A,N/A,27.5862069
Alabama St.,SWAC,30,8,42.3,49.7,18.7,17.7,31.7,34.4,31.2,34.6,N/A,N/A,26.66666667
Elon,CAA,30,8,47.8,52.1,18.4,17.1,24.9,30.6,27.5,29,N/A,N/A,26.66666667
Hampton,CAA,31,8,45.1,53.9,16,15.7,26.5,30.3,32.1,35.3,N/A,N/A,25.80645161
Cal Poly,BW,31,8,45.8,50.4,20.9,18.6,24.5,24.5,31,42.3,N/A,N/A,25.80645161
New Mexico St.,WAC,21,9,50.2,53.7,18.3,19.1,27,26.5,34.7,37,N/A,N/A,42.85714286
Wyoming,MWC,30,9,51.6,53.4,18.2,16.4,24.2,25.3,33.4,28.9,N/A,N/A,30
Pepperdine,WCC,29,9,52,52.5,18.3,16.6,25.9,30.5,26.8,32.6,N/A,N/A,31.03448276
Minnesota,B10,31,9,49,50.5,19.6,14.8,25,30.8,30.8,24.8,N/A,N/A,29.03225806
Rhode Island,A10,31,9,44.2,49.1,20.4,17.2,31.6,29.5,37,31.7,N/A,N/A,29.03225806
Central Arkansas,ASun,30,9,47.1,54.7,18.1,16.7,27.9,30.5,24.3,28.9,N/A,N/A,30
Austin Peay,ASun,28,9,46.3,54.7,17.4,19.5,26,31.9,26.1,37,N/A,N/A,32.14285714
Eastern Illinois,OVC,29,9,48,52.2,19.2,19.7,25.3,32.2,32.4,32.5,N/A,N/A,31.03448276
